5D358CDAED0D
source,time,hwid,type,samples,maxRSSI,mean,stddev
5D358CDAED0D,1502472898,DAD655CD510A,2,25,-53,-54.32,0.748331
5D358CDAED0D,1502472898,9A34ECDEA99E,2,24,-59,-59.625,0.575779
5D358CDAED0D,1502472898,F9632B2DFC58,2,20,-73,-75.95,1.35627
5D358CDAED0D,1502472958,9A34ECDEA99E,2,25,-59,-59.68,0.69041
5D358CDAED0D,1502472958,DAD655CD510A,2,23,-52,-54.3913,0.838782
5D358CDAED0D,1502472958,F9632B2DFC58,2,24,-74,-76.2917,1.73153
5D358CDAED0D,1502472958,6392B6C5FB53,2,22,-44,-44.0455,0.213201
5D358CDAED0D,1502473018,9A34ECDEA99E,2,19,-58,-58.9474,0.404653
5D358CDAED0D,1502473018,6392B6C5FB53,2,19,-44,-44.0,0.0
5D358CDAED0D,1502473018,459F7A08D5D7,2,18,-73,-77.6667,2.1693
5D358CDAED0D,1502473018,DAD655CD510A,2,18,-55,-55.7222,0.460889
5D358CDAED0D,1502473017,000000000000,0,0,-128,0.0,0.0
5D358CDAED0D,1502473017,000000000000,0,0,-128,0.0,0.0
5D358CDAED0D,1502473017,000000000000,0,0,-128,0.0,0.0
5D358CDAED0D,1502473017,000000000000,0,0,-128,0.0,0.0
5D358CDAED0D,1502473077,9A34ECDEA99E,2,30,-59,-59.7,0.876907
5D358CDAED0D,1502473077,6392B6C5FB53,2,30,-43,-43.9,0.547723
5D358CDAED0D,1502473077,459F7A08D5D7,2,24,-70,-75.8333,2.44357
5D358CDAED0D,1502473077,F9632B2DFC58,2,29,-76,-78.1379,2.26344
5D358CDAED0D,1502473137,9A34ECDEA99E,2,29,-58,-59.6552,0.768852
5D358CDAED0D,1502473137,6392B6C5FB53,2,30,-43,-43.9667,0.182574
5D358CDAED0D,1502473137,459F7A08D5D7,2,27,-76,-78.8519,2.07
5D358CDAED0D,1502473137,DAD655CD510A,2,30,-54,-55.3667,0.668675
5D358CDAED0D,1502473197,9A34ECDEA99E,2,30,-58,-59.7667,0.971431
5D358CDAED0D,1502473197,6392B6C5FB53,2,30,-40,-43.6333,0.808717
5D358CDAED0D,1502473197,459F7A08D5D7,2,24,-71,-77.5,3.55087
5D358CDAED0D,1502473197,DAD655CD510A,2,28,-55,-55.8571,0.803432
5D358CDAED0D,1502473257,9A34ECDEA99E,2,29,-59,-60.4828,0.574499
5D358CDAED0D,1502473257,6392B6C5FB53,2,30,-43,-43.5667,0.504007
5D358CDAED0D,1502473257,459F7A08D5D7,2,27,-70,-75.1852,2.16683
5D358CDAED0D,1502473257,DAD655CD510A,2,30,-54,-55.3,0.794377
5D358CDAED0D,1502473317,9A34ECDEA99E,2,30,-59,-60.0,1.0171
5D358CDAED0D,1502473317,6392B6C5FB53,2,29,-43,-43.931,0.37139
5D358CDAED0D,1502473317,459F7A08D5D7,2,27,-67,-70.3704,4.45618
5D358CDAED0D,1502473317,DAD655CD510A,2,30,-52,-53.3667,0.889918
5D358CDAED0D,1502473377,9A34ECDEA99E,2,30,-57,-59.6,1.35443
5D358CDAED0D,1502473377,6392B6C5FB53,2,30,-43,-44.0667,0.365148
5D358CDAED0D,1502473377,DAD655CD510A,2,30,-53,-53.8,0.805158
