9A34ECDEA99E
source,time,hwid,type,samples,maxRSSI,mean,stddev
9A34ECDEA99E,1502473574,6392B6C5FB53,2,29,-63,-64.7241,0.996299
9A34ECDEA99E,1502473574,459F7A08D5D7,2,24,-75,-76.6667,0.868116
9A34ECDEA99E,1502473574,DAD655CD510A,2,27,-65,-65.7407,0.446575
9A34ECDEA99E,1502473574,F9632B2DFC58,2,29,-65,-65.6897,0.541391
9A34ECDEA99E,1502473634,6392B6C5FB53,2,28,-63,-65.2143,0.686224
9A34ECDEA99E,1502473634,459F7A08D5D7,2,26,-75,-76.5,0.761576
9A34ECDEA99E,1502473634,DAD655CD510A,2,30,-65,-66.2,0.761122
9A34ECDEA99E,1502473634,F9632B2DFC58,2,28,-65,-65.5,0.509173
9A34ECDEA99E,1502473694,6392B6C5FB53,2,30,-63,-63.8333,0.592094
9A34ECDEA99E,1502473694,459F7A08D5D7,2,27,-75,-77.4445,1.08605
9A34ECDEA99E,1502473694,DAD655CD510A,2,29,-64,-65.9311,0.703611
9A34ECDEA99E,1502473694,F9632B2DFC58,2,30,-62,-64.5667,2.52823
9A34ECDEA99E,1502473754,6392B6C5FB53,2,30,-63,-63.9333,0.639684
9A34ECDEA99E,1502473754,459F7A08D5D7,2,28,-75,-76.5357,1.0709
9A34ECDEA99E,1502473754,DAD655CD510A,2,29,-65,-65.931,0.457559
9A34ECDEA99E,1502473754,F9632B2DFC58,2,30,-66,-69.0333,2.5255
9A34ECDEA99E,1502473814,6392B6C5FB53,2,30,-62,-63.8,0.924756
9A34ECDEA99E,1502473814,459F7A08D5D7,2,29,-73,-75.4828,1.21363
9A34ECDEA99E,1502473814,DAD655CD510A,2,29,-64,-65.7241,0.648986
9A34ECDEA99E,1502473814,F9632B2DFC58,2,28,-68,-70.9643,2.1685
9A34ECDEA99E,1502473874,6392B6C5FB53,2,30,-62,-63.2333,0.858359
9A34ECDEA99E,1502473874,459F7A08D5D7,2,27,-75,-77.0,2.18386
9A34ECDEA99E,1502473874,DAD655CD510A,2,29,-65,-66.3448,0.613877
9A34ECDEA99E,1502473874,F9632B2DFC58,2,29,-66,-70.5172,4.0322
9A34ECDEA99E,1502473934,6392B6C5FB53,2,29,-62,-63.6207,0.676851
9A34ECDEA99E,1502473934,459F7A08D5D7,2,30,-76,-77.6,1.47625
9A34ECDEA99E,1502473934,DAD655CD510A,2,29,-65,-66.3103,0.660272
9A34ECDEA99E,1502473934,F9632B2DFC58,2,30,-66,-67.2667,1.65952
9A34ECDEA99E,1502473994,6392B6C5FB53,2,30,-62,-63.2667,1.08066
9A34ECDEA99E,1502473994,459F7A08D5D7,2,27,-78,-81.2963,1.79346
9A34ECDEA99E,1502473994,F9632B2DFC58,2,29,-66,-71.9655,5.039
9A34ECDEA99E,1502473994,5D358CDAED0D,2,30,-57,-58.1667,0.530669
9A34ECDEA99E,1502473994,6392B6C5FB53,2,30,-62,-63.2667,1.08066
9A34ECDEA99E,1502473994,459F7A08D5D7,2,27,-78,-81.2963,1.79346
