F9632B2DFC58
source,time,hwid,type,samples,maxRSSI,mean,stddev
F9632B2DFC58,1502472704,5D358CDAED0D,2,28,-74,-77.5357,2.6455
F9632B2DFC58,1502472704,9A34ECDEA99E,2,30,-65,-66.5333,1.13664
F9632B2DFC58,1502472704,DAD655CD510A,2,29,-76,-80.1379,3.46126
F9632B2DFC58,1502472704,6392B6C5FB53,2,24,-78,-84.0,4.04325
F9632B2DFC58,1502472704,5D358CDAED0D,2,28,-74,-77.5357,2.6455
F9632B2DFC58,1502472704,9A34ECDEA99E,2,30,-65,-66.5333,1.13664
F9632B2DFC58,1502472704,DAD655CD510A,2,29,-76,-80.1379,3.46126
F9632B2DFC58,1502472764,5D358CDAED0D,2,29,-73,-74.5862,2.16328
F9632B2DFC58,1502472764,9A34ECDEA99E,2,30,-66,-67.2333,0.817202
F9632B2DFC58,1502472764,DAD655CD510A,2,26,-73,-79.0769,3.08445
F9632B2DFC58,1502472764,459F7A08D5D7,2,28,-77,-78.1786,0.983325
F9632B2DFC58,1502472764,5D358CDAED0D,2,29,-73,-74.5862,2.16328
F9632B2DFC58,1502472764,9A34ECDEA99E,2,30,-66,-67.2333,0.817202
F9632B2DFC58,1502472764,DAD655CD510A,2,26,-73,-79.0769,3.08445
F9632B2DFC58,1502472764,459F7A08D5D7,2,28,-77,-78.1786,0.983325
F9632B2DFC58,1502472764,5D358CDAED0D,2,29,-73,-74.5862,2.16328
F9632B2DFC58,1502472764,9A34ECDEA99E,2,30,-66,-67.2333,0.817202
F9632B2DFC58,1502472764,DAD655CD510A,2,26,-73,-79.0769,3.08445
F9632B2DFC58,1502472764,459F7A08D5D7,2,28,-77,-78.1786,0.983325
F9632B2DFC58,1502473484,6392B6C5FB53,2,15,-77,-84.9333,4.14844
F9632B2DFC58,1502473484,459F7A08D5D7,2,22,-78,-80.4091,0.908117
F9632B2DFC58,1502473484,DAD655CD510A,2,22,-77,-79.5455,1.87025
F9632B2DFC58,1502473484,5D358CDAED0D,2,23,-72,-74.2609,0.96377
F9632B2DFC58,1502473664,6392B6C5FB53,2,25,-74,-83.12,4.15652
F9632B2DFC58,1502473664,459F7A08D5D7,2,28,-78,-81.0714,2.0354
F9632B2DFC58,1502473664,DAD655CD510A,2,28,-74,-79.6071,4.12166
F9632B2DFC58,1502473664,5D358CDAED0D,2,29,-70,-75.0345,1.74198
F9632B2DFC58,1502473724,6392B6C5FB53,2,24,-76,-80.5833,4.25202
F9632B2DFC58,1502473724,459F7A08D5D7,2,28,-77,-80.9643,1.85557
F9632B2DFC58,1502473724,DAD655CD510A,2,27,-78,-80.2222,2.42318
F9632B2DFC58,1502473724,5D358CDAED0D,2,30,-70,-72.8333,2.00143
F9632B2DFC58,1502473784,6392B6C5FB53,2,28,-73,-75.8929,1.70705
F9632B2DFC58,1502473784,459F7A08D5D7,2,28,-76,-80.25,1.48137
F9632B2DFC58,1502473784,DAD655CD510A,2,25,-74,-79.0,2.95804
F9632B2DFC58,1502473784,5D358CDAED0D,2,28,-71,-72.1071,0.956044
F9632B2DFC58,1502473904,6392B6C5FB53,2,27,-74,-77.2593,1.76706
F9632B2DFC58,1502473904,DAD655CD510A,2,29,-77,-81.6207,2.45551
F9632B2DFC58,1502473904,5D358CDAED0D,2,30,-71,-74.1,1.84484
F9632B2DFC58,1502473904,9A34ECDEA99E,2,29,-64,-67.8966,2.17691
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474024,459F7A08D5D7,2,26,-80,-84.0769,2.7989
F9632B2DFC58,1502474024,DAD655CD510A,2,28,-72,-76.8214,2.17823
F9632B2DFC58,1502474024,9A34ECDEA99E,2,27,-66,-77.0,4.8278
F9632B2DFC58,1502474024,6392B6C5FB53,2,30,-67,-69.6333,1.99107
F9632B2DFC58,1502474084,459F7A08D5D7,2,24,-78,-80.7083,1.23286
F9632B2DFC58,1502474084,DAD655CD510A,2,24,-75,-77.7917,1.64129
F9632B2DFC58,1502474084,5D358CDAED0D,2,24,-69,-69.8333,0.868114
F9632B2DFC58,1502474084,9A34ECDEA99E,2,20,-71,-79.95,5.27631
F9632B2DFC58,1502474084,459F7A08D5D7,2,24,-78,-80.7083,1.23286
F9632B2DFC58,1502474084,DAD655CD510A,2,24,-75,-77.7917,1.64129
F9632B2DFC58,1502474084,5D358CDAED0D,2,24,-69,-69.8333,0.868114
F9632B2DFC58,1502474084,9A34ECDEA99E,2,20,-71,-79.95,5.27631
F9632B2DFC58,1502474084,459F7A08D5D7,2,24,-78,-80.7083,1.23286
F9632B2DFC58,1502474084,DAD655CD510A,2,24,-75,-77.7917,1.64129
F9632B2DFC58,1502474084,5D358CDAED0D,2,24,-69,-69.8333,0.868114
F9632B2DFC58,1502474084,9A34ECDEA99E,2,20,-71,-79.95,5.27631
F9632B2DFC58,1502474144,459F7A08D5D7,2,23,-79,-80.2609,0.915392
F9632B2DFC58,1502474144,DAD655CD510A,2,21,-73,-77.381,1.74574
F9632B2DFC58,1502474144,5D358CDAED0D,2,24,-69,-69.3333,0.637022
F9632B2DFC58,1502474144,9A34ECDEA99E,2,15,-74,-83.2667,5.24359
F9632B2DFC58,1502474144,459F7A08D5D7,2,23,-79,-80.2609,0.915392
F9632B2DFC58,1502474144,DAD655CD510A,2,21,-73,-77.381,1.74574
F9632B2DFC58,1502474144,5D358CDAED0D,2,24,-69,-69.3333,0.637022
F9632B2DFC58,1502474144,9A34ECDEA99E,2,15,-74,-83.2667,5.24359
F9632B2DFC58,1502474204,5D358CDAED0D,2,17,-69,-70.4706,0.717429
F9632B2DFC58,1502474204,9A34ECDEA99E,2,15,-71,-74.2,2.27408
F9632B2DFC58,1502474204,6392B6C5FB53,2,17,-67,-67.9412,0.428749
F9632B2DFC58,1502474204,459F7A08D5D7,2,15,-78,-80.0667,1.03279
F9632B2DFC58,1502474204,5D358CDAED0D,2,17,-69,-70.4706,0.717429
F9632B2DFC58,1502474204,9A34ECDEA99E,2,15,-71,-74.2,2.27408
F9632B2DFC58,1502474204,6392B6C5FB53,2,17,-67,-67.9412,0.428749
F9632B2DFC58,1502474204,459F7A08D5D7,2,15,-78,-80.0667,1.03279
F9632B2DFC58,1502474264,459F7A08D5D7,2,23,-79,-81.1304,1.42396
F9632B2DFC58,1502474264,DAD655CD510A,2,19,-76,-77.3158,0.74927
F9632B2DFC58,1502474264,5D358CDAED0D,2,21,-69,-69.619,0.920662
F9632B2DFC58,1502474264,9A34ECDEA99E,2,20,-68,-72.9,2.29186
F9632B2DFC58,1502474264,459F7A08D5D7,2,23,-79,-81.1304,1.42396
F9632B2DFC58,1502474264,DAD655CD510A,2,19,-76,-77.3158,0.74927
F9632B2DFC58,1502474264,5D358CDAED0D,2,21,-69,-69.619,0.920662
F9632B2DFC58,1502474264,9A34ECDEA99E,2,20,-68,-72.9,2.29186
F9632B2DFC58,1502474324,DAD655CD510A,2,14,-70,-80.0,4.96139
F9632B2DFC58,1502474324,5D358CDAED0D,2,15,-68,-70.4667,0.99043
F9632B2DFC58,1502474324,9A34ECDEA99E,2,14,-66,-72.2857,4.30436
F9632B2DFC58,1502474324,6392B6C5FB53,2,14,-67,-68.6429,1.49909
F9632B2DFC58,1502474324,DAD655CD510A,2,14,-70,-80.0,4.96139
F9632B2DFC58,1502474324,5D358CDAED0D,2,15,-68,-70.4667,0.99043
F9632B2DFC58,1502474324,9A34ECDEA99E,2,14,-66,-72.2857,4.30436
F9632B2DFC58,1502474324,6392B6C5FB53,2,14,-67,-68.6429,1.49909
F9632B2DFC58,1502474384,459F7A08D5D7,2,15,-82,-83.4667,1.59762
F9632B2DFC58,1502474384,DAD655CD510A,2,12,-79,-85.4167,4.46111
F9632B2DFC58,1502474384,5D358CDAED0D,2,16,-69,-70.9375,1.48184
F9632B2DFC58,1502474384,6392B6C5FB53,2,16,-67,-68.1875,0.981071
F9632B2DFC58,1502474384,459F7A08D5D7,2,15,-82,-83.4667,1.59762
F9632B2DFC58,1502474384,DAD655CD510A,2,12,-79,-85.4167,4.46111
F9632B2DFC58,1502474384,5D358CDAED0D,2,16,-69,-70.9375,1.48184
F9632B2DFC58,1502474384,6392B6C5FB53,2,16,-67,-68.1875,0.981071
F9632B2DFC58,1502474444,459F7A08D5D7,2,21,-76,-81.7143,3.40797
F9632B2DFC58,1502474444,5D358CDAED0D,2,22,-69,-71.7727,1.54093
F9632B2DFC58,1502474444,9A34ECDEA99E,2,23,-66,-72.3913,2.53591
F9632B2DFC58,1502474444,6392B6C5FB53,2,24,-66,-68.5,1.56038
F9632B2DFC58,1502474444,459F7A08D5D7,2,21,-76,-81.7143,3.40797
F9632B2DFC58,1502474444,5D358CDAED0D,2,22,-69,-71.7727,1.54093
F9632B2DFC58,1502474444,9A34ECDEA99E,2,23,-66,-72.3913,2.53591
F9632B2DFC58,1502474444,6392B6C5FB53,2,24,-66,-68.5,1.56038
F9632B2DFC58,1502474504,5D358CDAED0D,2,29,-67,-71.4138,1.82282
F9632B2DFC58,1502474504,9A34ECDEA99E,2,29,-70,-72.6552,1.63173
F9632B2DFC58,1502474504,6392B6C5FB53,2,29,-67,-68.8965,0.939025
F9632B2DFC58,1502474504,DAD655CD510A,2,9,-76,-81.5556,4.12647
F9632B2DFC58,1502474504,5D358CDAED0D,2,29,-67,-71.4138,1.82282
F9632B2DFC58,1502474504,9A34ECDEA99E,2,29,-70,-72.6552,1.63173
F9632B2DFC58,1502474504,6392B6C5FB53,2,29,-67,-68.8965,0.939025
F9632B2DFC58,1502474504,DAD655CD510A,2,9,-76,-81.5556,4.12647
F9632B2DFC58,1502474564,459F7A08D5D7,2,23,-80,-81.8696,1.6041
F9632B2DFC58,1502474564,5D358CDAED0D,2,30,-69,-71.3333,1.1547
F9632B2DFC58,1502474564,6392B6C5FB53,2,25,-66,-67.36,0.757186
F9632B2DFC58,1502474564,9A34ECDEA99E,2,28,-67,-71.5714,2.7545
F9632B2DFC58,1502474564,459F7A08D5D7,2,23,-80,-81.8696,1.6041
F9632B2DFC58,1502474564,5D358CDAED0D,2,30,-69,-71.3333,1.1547
F9632B2DFC58,1502474564,6392B6C5FB53,2,25,-66,-67.36,0.757186
F9632B2DFC58,1502474564,9A34ECDEA99E,2,28,-67,-71.5714,2.7545
F9632B2DFC58,1502474564,459F7A08D5D7,2,23,-80,-81.8696,1.6041
F9632B2DFC58,1502474564,5D358CDAED0D,2,30,-69,-71.3333,1.1547
F9632B2DFC58,1502474564,6392B6C5FB53,2,25,-66,-67.36,0.757186
F9632B2DFC58,1502474564,9A34ECDEA99E,2,28,-67,-71.5714,2.7545
F9632B2DFC58,1502474564,459F7A08D5D7,2,23,-80,-81.8696,1.6041
F9632B2DFC58,1502474564,5D358CDAED0D,2,30,-69,-71.3333,1.1547
F9632B2DFC58,1502474564,6392B6C5FB53,2,25,-66,-67.36,0.757186
F9632B2DFC58,1502474564,9A34ECDEA99E,2,28,-67,-71.5714,2.7545
F9632B2DFC58,1502474564,459F7A08D5D7,2,23,-80,-81.8696,1.6041
F9632B2DFC58,1502474564,5D358CDAED0D,2,30,-69,-71.3333,1.1547
F9632B2DFC58,1502474564,6392B6C5FB53,2,25,-66,-67.36,0.757186
F9632B2DFC58,1502474564,9A34ECDEA99E,2,28,-67,-71.5714,2.7545
F9632B2DFC58,1502474564,459F7A08D5D7,2,23,-80,-81.8696,1.6041
F9632B2DFC58,1502474564,5D358CDAED0D,2,30,-69,-71.3333,1.1547
F9632B2DFC58,1502474564,6392B6C5FB53,2,25,-66,-67.36,0.757186
F9632B2DFC58,1502474564,9A34ECDEA99E,2,28,-67,-71.5714,2.7545
F9632B2DFC58,1502474564,459F7A08D5D7,2,23,-80,-81.8696,1.6041
F9632B2DFC58,1502474564,5D358CDAED0D,2,30,-69,-71.3333,1.1547
F9632B2DFC58,1502474564,6392B6C5FB53,2,25,-66,-67.36,0.757186
F9632B2DFC58,1502474564,9A34ECDEA99E,2,28,-67,-71.5714,2.7545
F9632B2DFC58,1502474624,5D358CDAED0D,2,30,-67,-70.8667,2.28538
F9632B2DFC58,1502474624,459F7A08D5D7,2,25,-77,-79.0,1.1547
F9632B2DFC58,1502474624,9A34ECDEA99E,2,30,-69,-72.5667,1.7357
