459F7A08D5D7
source,time,hwid,type,samples,maxRSSI,mean,stddev
459F7A08D5D7,1502473585,6392B6C5FB53,2,29,-67,-69.1379,1.30176
459F7A08D5D7,1502473585,DAD655CD510A,2,22,-65,-65.8182,0.664501
459F7A08D5D7,1502473645,5D358CDAED0D,2,29,-66,-67.2759,0.882222
459F7A08D5D7,1502473645,9A34ECDEA99E,2,19,-75,-76.9474,2.04053
459F7A08D5D7,1502473645,6392B6C5FB53,2,27,-67,-69.1111,1.45002
459F7A08D5D7,1502473645,DAD655CD510A,2,21,-65,-65.7143,0.560612
459F7A08D5D7,1502473645,5D358CDAED0D,2,29,-66,-67.2759,0.882222
459F7A08D5D7,1502473645,9A34ECDEA99E,2,19,-75,-76.9474,2.04053
459F7A08D5D7,1502473645,6392B6C5FB53,2,27,-67,-69.1111,1.45002
459F7A08D5D7,1502473645,DAD655CD510A,2,21,-65,-65.7143,0.560612
459F7A08D5D7,1502473705,5D358CDAED0D,2,29,-66,-67.6897,0.96745
459F7A08D5D7,1502473705,9A34ECDEA99E,2,29,-75,-77.0,1.13389
459F7A08D5D7,1502473705,6392B6C5FB53,2,29,-68,-70.6896,1.5143
459F7A08D5D7,1502473705,DAD655CD510A,2,21,-64,-66.1905,0.928387
459F7A08D5D7,1502473705,5D358CDAED0D,2,29,-66,-67.6897,0.96745
459F7A08D5D7,1502473705,9A34ECDEA99E,2,29,-75,-77.0,1.13389
459F7A08D5D7,1502473705,6392B6C5FB53,2,29,-68,-70.6896,1.5143
459F7A08D5D7,1502473705,DAD655CD510A,2,21,-64,-66.1905,0.928387
459F7A08D5D7,1502473765,5D358CDAED0D,2,28,-67,-68.3571,0.621483
459F7A08D5D7,1502473765,9A34ECDEA99E,2,28,-75,-76.6786,1.18801
459F7A08D5D7,1502473765,6392B6C5FB53,2,30,-67,-69.6667,1.12444
459F7A08D5D7,1502473765,DAD655CD510A,2,22,-65,-65.7273,0.455842
459F7A08D5D7,1502473765,5D358CDAED0D,2,28,-67,-68.3571,0.621483
459F7A08D5D7,1502473765,9A34ECDEA99E,2,28,-75,-76.6786,1.18801
459F7A08D5D7,1502473765,6392B6C5FB53,2,30,-67,-69.6667,1.12444
459F7A08D5D7,1502473765,DAD655CD510A,2,22,-65,-65.7273,0.455842
459F7A08D5D7,1502473825,5D358CDAED0D,2,29,-65,-66.5173,1.0563
459F7A08D5D7,1502473825,9A34ECDEA99E,2,29,-73,-75.3793,0.902923
459F7A08D5D7,1502473825,6392B6C5FB53,2,28,-66,-69.1428,2.47527
459F7A08D5D7,1502473825,DAD655CD510A,2,21,-63,-64.8095,0.813579
459F7A08D5D7,1502473825,5D358CDAED0D,2,29,-65,-66.5173,1.0563
459F7A08D5D7,1502473825,9A34ECDEA99E,2,29,-73,-75.3793,0.902923
459F7A08D5D7,1502473825,6392B6C5FB53,2,28,-66,-69.1428,2.47527
459F7A08D5D7,1502473825,DAD655CD510A,2,21,-63,-64.8095,0.813579
459F7A08D5D7,1502473885,5D358CDAED0D,2,30,-66,-66.5,0.629727
459F7A08D5D7,1502473885,9A34ECDEA99E,2,26,-75,-76.7308,1.37281
459F7A08D5D7,1502473885,6392B6C5FB53,2,29,-66,-67.5517,1.08845
459F7A08D5D7,1502473885,DAD655CD510A,2,21,-64,-65.4286,0.676123
459F7A08D5D7,1502473885,5D358CDAED0D,2,30,-66,-66.5,0.629727
459F7A08D5D7,1502473885,9A34ECDEA99E,2,26,-75,-76.7308,1.37281
459F7A08D5D7,1502473885,6392B6C5FB53,2,29,-66,-67.5517,1.08845
