5D358CDAED0D
time,hwid,type,samples,maxRSSI,mean,stddev
  (1502290019, 'F9632B2DFC58', 2, 24, -73, -77.875, 5.2112956047058105)
  (1502290019, '459F7A08D5D7', 2, 30, -61, -62.53333282470703, 0.8995527625083923)]]
[[ (1502290079, '94DC6692F976', 3, 29, -50, -53.27586364746094, 1.5328906774520874)
  (1502290079, '2D1032CDC2EC', 3, 29, -51, -53.27586364746094, 1.360055923461914)
  (1502290079, 'F9632B2DFC58', 2, 26, -72, -77.46153259277344, 5.601649284362793)
  (1502290079, '9A34ECDEA99E', 2, 29, -60, -60.89655303955078, 0.7243136167526245)]]
[[(1502290139, '94DC6692F976', 3, 28, -50, -53.0, 1.8257426023483276)
  (1502290139, '2D1032CDC2EC', 3, 30, -45, -50.233333587646484, 3.6642093658447266)
  (1502290139, 'F9632B2DFC58', 2, 29, -70, -71.48275756835938, 0.737790048122406)
  (1502290139, '459F7A08D5D7', 2, 30, -62, -63.0333366394043, 0.5560534596443176)]]
[[ (1502290199, '94DC6692F976', 3, 27, -50, -50.55555725097656, 0.7510673999786377)
  (1502290199, '2D1032CDC2EC', 3, 28, -45, -46.357139587402344, 0.5587204694747925)
  (1502290199, 'F9632B2DFC58', 2, 26, -69, -70.73076629638672, 1.4016486406326294)
  (1502290199, '459F7A08D5D7', 2, 28, -63, -63.64285659790039, 0.4879496693611145)]]
[[ (1502290259, '94DC6692F976', 3, 28, -50, -51.17856979370117, 0.6118325591087341)
  (1502290259, '2D1032CDC2EC', 3, 30, -46, -46.366668701171875, 0.4901331663131714)
  (1502290259, 'F9632B2DFC58', 2, 27, -68, -71.85184478759766, 2.106830358505249)
  (1502290259, '459F7A08D5D7', 2, 30, -63, -63.5333366394043, 0.5074167847633362)]]
[[ (1502290319, '94DC6692F976', 3, 30, -50, -50.89999771118164, 0.6074257493019104)
  (1502290319, '2D1032CDC2EC', 3, 29, -46, -46.379310607910156, 0.4938032329082489)
  (1502290319, 'F9632B2DFC58', 2, 30, -68, -68.66665649414062, 0.6064778566360474)
  (1502290319, '459F7A08D5D7', 2, 29, -62, -62.79310607910156, 0.5592932105064392)]]
[[ (1502290379, '94DC6692F976', 3, 28, -48, -50.357139587402344, 1.4456636905670166)
  (1502290379, '2D1032CDC2EC', 3, 30, -46, -48.133331298828125, 2.2550082206726074)
  (1502290379, 'F9632B2DFC58', 2, 26, -68, -68.96154022216797, 0.34418269991874695)
  (1502290379, '459F7A08D5D7', 2, 29, -56, -62.58620834350586, 1.3233407735824585)]]
[[ (1502290439, '94DC6692F976', 3, 30, -50, -51.06666564941406, 0.6396830677986145)
  (1502290439, '2D1032CDC2EC', 3, 30, -47, -48.90000534057617, 0.8030098676681519)
  (1502290439, 'F9632B2DFC58', 2, 27, -68, -69.0, 1.1766973733901978)
  (1502290439, '459F7A08D5D7', 2, 30, -62, -62.63333511352539, 0.556053876876831)]]
