F9632B2DFC58
time,hwid,type,samples,maxRSSI,mean,stddev
  (1502378445, '5D358CDAED0D', 2, 18, -68, -69.22222137451172, 1.1659660339355469)]]
[[ (1502378505, '459F7A08D5D7', 2, 15, -80, -83.86666870117188, 2.03071665763855)
  (1502378505, 'DAD655CD510A', 2, 19, -75, -75.94735717773438, 0.8481107950210571)
  (1502378505, '9A34ECDEA99E', 2, 20, -71, -72.9000015258789, 1.2937097549438477)
  (1502378505, '6392B6C5FB53', 2, 19, -69, -71.10525512695312, 0.8752597570419312)]]
[[ (1502378565, '459F7A08D5D7', 2, 11, -79, -82.81819152832031, 2.9263644218444824)
  (1502378565, '9A34ECDEA99E', 2, 11, -69, -71.90908813476562, 2.3432700634002686)
  (1502378565, '6392B6C5FB53', 2, 12, -68, -69.91667175292969, 1.3113733530044556)
  (1502378565, 'DAD655CD510A', 2, 15, -73, -75.00000762939453, 1.6035690307617188)]]
[[ (1502378505, '459F7A08D5D7', 2, 15, -80, -83.86666870117188, 2.03071665763855)
  (1502378505, 'DAD655CD510A', 2, 19, -75, -75.94735717773438, 0.8481107950210571)
  (1502378505, '9A34ECDEA99E', 2, 20, -71, -72.9000015258789, 1.2937097549438477)
  (1502378505, '6392B6C5FB53', 2, 19, -69, -71.10525512695312, 0.8752597570419312)]]
[[ (1502378565, '459F7A08D5D7', 2, 11, -79, -82.81819152832031, 2.9263644218444824)
  (1502378565, '9A34ECDEA99E', 2, 11, -69, -71.90908813476562, 2.3432700634002686)
  (1502378565, '6392B6C5FB53', 2, 12, -68, -69.91667175292969, 1.3113733530044556)
  (1502378565, 'DAD655CD510A', 2, 15, -73, -75.00000762939453, 1.6035690307617188)]]
[[ (1502378565, '459F7A08D5D7', 2, 11, -79, -82.81819152832031, 2.9263644218444824)
  (1502378565, '9A34ECDEA99E', 2, 11, -69, -71.90908813476562, 2.3432700634002686)
  (1502378565, '6392B6C5FB53', 2, 12, -68, -69.91667175292969, 1.3113733530044556)
  (1502378565, 'DAD655CD510A', 2, 15, -73, -75.00000762939453, 1.6035690307617188)]]
[[ (1502378625, '9A34ECDEA99E', 2, 14, -71, -74.28571319580078, 2.701242208480835)
  (1502378625, '459F7A08D5D7', 2, 14, -79, -82.5714340209961, 2.2434275150299072)
  (1502378625, '6392B6C5FB53', 2, 16, -69, -70.3125, 0.8732126951217651)
  (1502378625, 'DAD655CD510A', 2, 14, -72, -75.0714340209961, 1.8171923160552979)]]
[[ (1502378625, '9A34ECDEA99E', 2, 14, -71, -74.28571319580078, 2.701242208480835)
  (1502378625, '459F7A08D5D7', 2, 14, -79, -82.5714340209961, 2.2434275150299072)
  (1502378625, '6392B6C5FB53', 2, 16, -69, -70.3125, 0.8732126951217651)
  (1502378625, 'DAD655CD510A', 2, 14, -72, -75.0714340209961, 1.8171923160552979)]]
[[ (1502378685, '459F7A08D5D7', 2, 17, -79, -82.5294189453125, 1.9078022241592407)
  (1502378685, '9A34ECDEA99E', 2, 16, -74, -77.875, 3.499999761581421)
  (1502378685, '6392B6C5FB53', 2, 16, -69, -70.25, 0.9309508800506592)
  (1502378685, 'DAD655CD510A', 2, 14, -73, -75.49999237060547, 1.0190485715866089)]]
[[ (1502378685, '459F7A08D5D7', 2, 17, -79, -82.5294189453125, 1.9078022241592407)
  (1502378685, '9A34ECDEA99E', 2, 16, -74, -77.875, 3.499999761581421)
  (1502378685, '6392B6C5FB53', 2, 16, -69, -70.25, 0.9309508800506592)
  (1502378685, 'DAD655CD510A', 2, 14, -73, -75.49999237060547, 1.0190485715866089)]]
[[ (1502378685, '459F7A08D5D7', 2, 17, -79, -82.5294189453125, 1.9078022241592407)
  (1502378685, '9A34ECDEA99E', 2, 16, -74, -77.875, 3.499999761581421)
  (1502378685, '6392B6C5FB53', 2, 16, -69, -70.25, 0.9309508800506592)
  (1502378685, 'DAD655CD510A', 2, 14, -73, -75.49999237060547, 1.0190485715866089)]]
[[ (1502378745, '6392B6C5FB53', 2, 14, -67, -68.92858123779297, 1.4392497539520264)
  (1502378745, '9A34ECDEA99E', 2, 14, -70, -73.85713958740234, 2.178818702697754)
  (1502378745, 'DAD655CD510A', 2, 13, -73, -76.30769348144531, 2.6578369140625)
  (1502378745, '5D358CDAED0D', 2, 14, -68, -69.35714721679688, 1.1507294178009033)]]
[[ (1502378745, '6392B6C5FB53', 2, 14, -67, -68.92858123779297, 1.4392497539520264)
