DAD655CD510A
time,hwid,type,samples,maxRSSI,mean,stddev
  (1502378063, '5D358CDAED0D', 2, 30, -53, -53.43333053588867, 0.50400710105896)
  (1502378063, '9A34ECDEA99E', 2, 27, -64, -66.22222900390625, 2.9395625591278076)]]
[[ (1502378183, 'F9632B2DFC58', 2, 28, -75, -78.03572082519531, 1.9145104885101318)
  (1502378183, '94DC6692F976', 3, 29, -63, -66.48275756835938, 1.975216269493103)
  (1502378183, '5D358CDAED0D', 2, 30, -52, -53.13333511352539, 0.5713467597961426)
  (1502378183, '9A34ECDEA99E', 2, 27, -66, -67.11112213134766, 2.3424735069274902)]]
[[ (1502378243, '94DC6692F976', 3, 29, -63, -66.51725006103516, 2.5581893920898438)
  (1502378243, '5D358CDAED0D', 2, 30, -52, -53.13333511352539, 1.105887770652771)
  (1502378243, '9A34ECDEA99E', 2, 29, -67, -70.27586364746094, 3.261202096939087)
  (1502378243, '6392B6C5FB53', 2, 30, -52, -52.4333381652832, 0.6260614395141602)]]
[[(1502378303, '94DC6692F976', 3, 8, -58, -64.375, 3.159452438354492)
  (1502378303, '5D358CDAED0D', 2, 30, -53, -54.39999771118164, 0.6746655702590942)
  (1502378303, '9A34ECDEA99E', 2, 26, -69, -74.1538314819336, 3.294745922088623)
  (1502378303, '6392B6C5FB53', 2, 29, -49, -52.24138259887695, 0.8724005818367004)]]
[[ (1502378423, 'F9632B2DFC58', 2, 26, -74, -77.53845977783203, 2.195099353790283)
  (1502378423, '5D358CDAED0D', 2, 29, -50, -53.931034088134766, 1.646012306213379)
  (1502378423, '9A34ECDEA99E', 2, 30, -66, -68.16667175292969, 1.3152506351470947)
  (1502378423, '6392B6C5FB53', 2, 29, -53, -54.275856018066406, 0.5913987755775452)]]
[[ (1502378423, 'F9632B2DFC58', 2, 26, -74, -77.53845977783203, 2.195099353790283)
  (1502378423, '5D358CDAED0D', 2, 29, -50, -53.931034088134766, 1.646012306213379)
  (1502378423, '9A34ECDEA99E', 2, 30, -66, -68.16667175292969, 1.3152506351470947)
  (1502378423, '6392B6C5FB53', 2, 29, -53, -54.275856018066406, 0.5913987755775452)]]
[[ (1502378423, 'F9632B2DFC58', 2, 26, -74, -77.53845977783203, 2.195099353790283)
  (1502378423, '5D358CDAED0D', 2, 29, -50, -53.931034088134766, 1.646012306213379)
  (1502378423, '9A34ECDEA99E', 2, 30, -66, -68.16667175292969, 1.3152506351470947)
  (1502378423, '6392B6C5FB53', 2, 29, -53, -54.275856018066406, 0.5913987755775452)]]
[[ (1502378423, 'F9632B2DFC58', 2, 26, -74, -77.53845977783203, 2.195099353790283)
  (1502378423, '5D358CDAED0D', 2, 29, -50, -53.931034088134766, 1.646012306213379)
  (1502378423, '9A34ECDEA99E', 2, 30, -66, -68.16667175292969, 1.3152506351470947)
  (1502378423, '6392B6C5FB53', 2, 29, -53, -54.275856018066406, 0.5913987755775452)]]
[[ (1502378423, 'F9632B2DFC58', 2, 26, -74, -77.53845977783203, 2.195099353790283)
  (1502378423, '5D358CDAED0D', 2, 29, -50, -53.931034088134766, 1.646012306213379)
  (1502378423, '9A34ECDEA99E', 2, 30, -66, -68.16667175292969, 1.3152506351470947)
  (1502378423, '6392B6C5FB53', 2, 29, -53, -54.275856018066406, 0.5913987755775452)]]
[[ (1502378423, 'F9632B2DFC58', 2, 26, -74, -77.53845977783203, 2.195099353790283)
  (1502378423, '5D358CDAED0D', 2, 29, -50, -53.931034088134766, 1.646012306213379)
